"IDPOP","TIME_SEQ","SEQ_COUNT"
17873,35.4054794520548,11
94493,36.6575342465753,11
94294,37.2931506849315,11
4,36.4684931506849,11
12741,36.9315068493151,11
84291,36.2657534246575,11
110857,38.4904109589041,11
103,36.8383561643836,11
107497,39.5671232876712,11
112500,37.6301369863014,11
660,37.9068493150685,11
2445,36.5917808219178,11
10675,38.7068493150685,11
96153,39.5178082191781,11
13724,36.3068493150685,11
115936,36.6493150684932,11
9221,40.6054794520548,11
6490,39.2356164383562,11
89002,40.7041095890411,11
9960,36.8767123287671,11
110742,39.6027397260274,11
6298,39.5917808219178,11
119577,37.186301369863,11
121181,35.5643835616438,11
115125,40.9972602739726,11
1198,35.9616438356164,11
2317,40.4958904109589,11
5707,37.1890410958904,11
133314,37.3753424657534,11
15894,40.1808219178082,11
129504,40.3671232876712,11
10728,35.2657534246575,11
6446,35.5232876712329,11
16907,40.1452054794521,11
2028,37.2657534246575,11
4908,40.041095890411,11
11546,35.0301369863014,11
92217,37.0630136986301,11
11596,37.4630136986301,11
112571,38.0027397260274,11
133403,40.0383561643836,11
93254,36.8191780821918,11
3489,38.6356164383562,11
87155,35.8465753424658,11
8454,38.1315068493151,11
19413,37.958904109589,11
2412,36.5068493150685,11
6060,39.9534246575342,11
13965,40.1972602739726,11
17637,35.8219178082192,11
101505,40.4246575342466,11
98629,39.7397260273973,11
128331,35.786301369863,11
9664,38.3260273972603,11
97662,38.9424657534247,11
14794,37.2547945205479,11
94581,39.4164383561644,11
127940,36.986301369863,11
6403,36.586301369863,11
107136,39.8849315068493,11
132816,38.958904109589,11
117899,38.8904109589041,11
109913,39.8794520547945,11
19401,35.0301369863014,11
18404,40.5397260273973,11
19576,36.3178082191781,11
124280,40.7205479452055,11
4817,35.4958904109589,11
3613,36.0767123287671,11
108642,40.6958904109589,11
113310,39.6684931506849,11
16404,38.5041095890411,11
105344,39.1150684931507,11
4338,40.0328767123288,11
101617,36.5095890410959,11
125065,40.7123287671233,11
124924,37.2849315068493,11
96653,38.758904109589,11
9911,35.9342465753425,11
113268,39.2602739726027,11
9764,37.9452054794521,11
131993,36.6602739726027,11
16511,40.8493150684931,11
132815,35.3616438356164,11
17972,38.586301369863,11
7190,35.5424657534247,11
119343,37.1452054794521,11
11509,36.2,11
5170,38.4602739726027,11
100669,36.8876712328767,11
117618,37.4657534246575,11
8861,38.4958904109589,11
1872,36.5835616438356,11
98356,36.6876712328767,11
118271,39.1260273972603,11
19500,37.2712328767123,11
16062,36.6054794520548,11
119485,40.8767123287671,11
123056,40.6219178082192,11
1300,38.0520547945206,11
115522,36.9150684931507,11
128166,40.2109589041096,11
98529,38.9561643835616,11
10214,37.3178082191781,11
5368,37.7945205479452,11
119888,38.9917808219178,11
11605,37.0438356164384,11
110699,37.4986301369863,11
93720,37.2547945205479,11
80031,35.986301369863,11
9086,37.2602739726027,11
102555,39.0547945205479,11
108866,36.3835616438356,11
17974,37.5671232876712,11
8836,39.3479452054795,11
120542,36.5643835616438,11
117806,36.8219178082192,11
48297,40.0630136986301,11
110206,35.6767123287671,11
113132,39.2547945205479,11
