"time","global","region"
727,60772,20149
728,60772,20150
729,60771,20149
730,60774,20150
731,60774,20150
732,60778,20150
733,60779,20150
734,60779,20150
735,60778,20150
736,60781,20150
737,60784,20150
738,60784,20150
739,60785,20150
740,60785,20150
741,60787,20148
742,60786,20148
743,60784,20148
744,60784,20150
745,60785,20150
746,60786,20150
747,60790,20149
748,60791,20150
749,60792,20149
750,60793,20149
751,60793,20150
752,60794,20151
753,60796,20151
754,60796,20152
755,60797,20152
756,60797,20152
757,60798,20152
758,60801,20152
759,60802,20152
760,60803,20152
761,60803,20152
762,60804,20153
763,60804,20153
764,60805,20153
765,60809,20153
766,60810,20154
767,60811,20154
768,60812,20154
769,60812,20154
770,60811,20155
771,60812,20155
772,60813,20155
773,60815,20155
774,60814,20156
775,60818,20156
776,60820,20156
777,60820,20156
778,60821,20155
779,60821,20155
780,60821,20155
781,60822,20156
782,60823,20157
783,60823,20157
784,60822,20158
785,60826,20157
786,60825,20158
787,60828,20158
788,60829,20159
789,60828,20160
790,60827,20161
791,60832,20161
792,60833,20161
793,60835,20161
794,60836,20161
795,60836,20161
796,60835,20161
797,60834,20162
798,60834,20162
799,60835,20161
800,60837,20161
801,60837,20162
802,60838,20162
803,60840,20162
804,60840,20162
805,60844,20162
806,60844,20162
807,60844,20163
808,60846,20164
809,60847,20164
810,60847,20165
811,60847,20165
812,60846,20165
813,60848,20166
814,60849,20165
815,60851,20165
816,60855,20165
817,60857,20164
818,60856,20167
819,60857,20167
820,60858,20167
821,60860,20167
822,60860,20167
823,60863,20167
824,60864,20167
825,60865,20168
826,60864,20169
827,60865,20169
828,60865,20169
829,60866,20169
830,60868,20169
831,60868,20169
832,60868,20169
833,60869,20170
834,60870,20170
835,60869,20171
836,60869,20171
837,60869,20172
838,60870,20172
839,60872,20172
840,60874,20172
841,60877,20170
842,60879,20169
843,60881,20169
844,60881,20169
845,60880,20169
846,60882,20172
847,60885,20172
848,60885,20171
849,60888,20170
850,60889,20170
851,60890,20170
852,60892,20170
853,60893,20171
854,60892,20172
855,60891,20171
856,60891,20171
857,60894,20170
858,60895,20170
859,60898,20171
860,60898,20171
861,60900,20173
862,60901,20172
863,60904,20173
864,60903,20174
865,60905,20174
866,60907,20174
867,60910,20176
868,60912,20175
869,60912,20175
870,60913,20175
871,60913,20177
872,60916,20178
873,60916,20179
874,60916,20180
875,60916,20183
876,60915,20184
877,60918,20183
878,60920,20182
879,60922,20182
880,60924,20183
881,60923,20185
882,60922,20185
883,60923,20186
884,60925,20186
885,60927,20186
886,60928,20186
887,60928,20186
888,60930,20187
889,60932,20187
890,60932,20188
