"time","IDs","migrant"
4587,56377,"21"
4588,6487,"12"
4596,13193,"12"
4598,2955,"12"
4601,19340,"12"
4608,17473,"21"
4608,52656,"21"
4612,14375,"12"
4614,3096,"12"
4623,9828,"12"
4624,65524,"21"
4626,10436,"12"
4628,56491,"21"
4630,68036,"21"
4636,55701,"21"
4638,4798,"12"
4645,61742,"21"
4646,18940,"12"
4649,70379,"21"
4651,76884,"21"
4656,85473,"21"
4657,5481,"12"
4658,22119,"21"
4664,8363,"12"
4666,59807,"21"
4671,1695,"12"
4673,80548,"12"
4673,30910,"21"
4675,22178,"21"
4678,3445,"12"
4678,6845,"12"
4678,14590,"12"
4678,80649,"21"
4688,26360,"21"
4696,32593,"21"
4699,71540,"21"
4701,46841,"21"
4702,32559,"21"
4708,18505,"12"
4713,69222,"21"
4723,43095,"21"
4723,48060,"21"
4726,16262,"12"
4731,24861,"12"
4734,31257,"21"
4751,48268,"21"
4766,32690,"21"
4770,56303,"21"
4771,19837,"12"
4781,442,"12"
4786,78743,"21"
4789,81598,"21"
4804,11101,"12"
4806,59003,"21"
4809,56840,"21"
4810,56753,"21"
4814,34529,"21"
4815,6730,"12"
4825,4469,"12"
4828,66553,"21"
4834,16132,"12"
4838,57829,"21"
4848,2783,"12"
4856,60760,"21"
4861,9904,"12"
4863,1475,"12"
4871,76879,"21"
4872,30559,"21"
4879,6264,"12"
4879,20656,"21"
4882,32286,"21"
4892,19277,"12"
4896,22922,"21"
4897,27152,"21"
4898,69980,"21"
4899,41006,"21"
4900,15890,"12"
4901,80910,"21"
4902,5280,"12"
4903,40460,"21"
4904,9383,"12"
4905,10679,"12"
4914,34083,"21"
4932,15798,"12"
4935,8880,"12"
4935,41657,"21"
4939,12024,"12"
4941,17441,"12"
4949,61889,"21"
4953,1416,"12"
4953,4926,"12"
4961,3282,"12"
4962,37473,"21"
4965,24883,"21"
4966,33790,"21"
4966,75589,"21"
4966,81047,"21"
4975,9465,"12"
4976,40026,"21"
4979,30657,"21"
4985,57032,"21"
4987,5105,"12"
4988,13083,"12"
4990,65623,"21"
4995,71585,"21"
5000,21520,"21"
5002,50832,"21"
5006,50260,"21"
5006,70795,"21"
5006,71129,"21"
5013,34873,"21"
5031,82729,"21"
5037,31575,"21"
5042,14032,"12"
5045,56787,"21"
5050,49903,"21"
5053,44971,"21"
5055,33574,"21"
5055,36614,"21"
5063,8375,"12"
5063,19856,"12"
5064,14566,"12"
5066,10880,"12"
5069,5283,"12"
5071,38148,"21"
5077,16530,"12"
5079,11607,"12"
5081,13743,"12"
5082,27277,"21"
5085,29030,"21"
5087,8463,"12"
5089,32723,"21"
5095,10302,"12"
5098,61941,"21"
5102,4623,"12"
5105,6969,"12"
5109,17057,"12"
5118,66363,"21"
5119,1315,"12"
5120,75584,"21"
5122,23172,"21"
5142,13713,"12"
5143,1480,"12"
5145,74107,"21"
5148,10308,"12"
5149,13834,"12"
5152,16430,"12"
5161,9263,"12"
5170,32712,"21"
5171,86990,"21"
5172,13372,"12"
5182,26076,"21"
5184,42056,"21"
5185,48699,"21"
5202,19329,"12"
5208,4235,"12"
5210,81500,"21"
5211,18194,"12"
5211,37473,"12"
5212,28579,"21"
5215,19955,"12"
5215,20272,"21"
5217,65787,"21"
5219,73915,"21"
5225,14364,"12"
5234,2234,"12"
5237,700,"12"
5247,9045,"12"
5247,75773,"21"
5248,19794,"12"
5249,82728,"21"
5250,76192,"21"
5254,9733,"12"
5256,69304,"21"
5260,5347,"12"
5260,8329,"12"
5261,16801,"12"
5266,67995,"21"
5267,28507,"21"
5270,18067,"12"
5270,29054,"21"
5272,6144,"12"
5276,58783,"21"
5279,82005,"12"
5280,6519,"12"
5284,44058,"21"
5288,5642,"12"
5288,12763,"12"
5290,6304,"12"
5292,27236,"21"
5294,6612,"12"
5299,74840,"21"
5301,56174,"21"
5302,12423,"12"
5306,44360,"21"
5310,6169,"12"
5313,29748,"21"
5317,13310,"12"
5318,18474,"12"
5319,4505,"12"
5324,1312,"12"
5336,13048,"12"
5341,44273,"21"
5344,57452,"21"
5346,26943,"21"
5350,21937,"21"
5352,57957,"21"
5356,35303,"21"
5357,13852,"12"
5358,5,"12"
5359,84249,"21"
