"time","r0"
5519,1
5521,1
5525,0
5526,0
5526,0
5527,1
5528,0
5529,3
5529,2
5534,0
5536,0
5536,0
5540,0
5540,0
5543,1
5543,12
5544,1
5545,5
5545,2
5547,21
5548,3
5551,0
5551,4
5553,0
5556,0
5556,1
5556,1
5558,4
5558,2
5562,1
5563,5
5563,2
5564,1
5566,2
5567,0
5569,1
5571,0
5575,0
5576,1
5578,0
5580,1
5585,1
5585,3
5586,1
5588,5
5591,0
5592,8
5592,0
5593,4
5598,0
5602,0
5602,2
5604,4
5606,1
5609,3
5611,1
5613,0
5614,0
5615,0
5615,1
5615,1
5616,1
5616,5
5617,0
5617,2
5617,0
5618,1
5619,0
5622,2
5623,4
5623,1
5624,0
5625,5
5625,0
5625,1
5625,7
5627,0
5627,2
5631,0
5631,13
5634,2
5634,0
5635,2
5636,1
5638,8
5638,0
5638,0
5644,3
5647,0
5648,0
5648,0
5651,1
5652,0
5653,0
5655,1
5658,0
5660,2
5660,0
5662,2
5663,0
5664,1
5664,0
5666,7
5667,0
5667,1
5667,0
5668,3
5669,0
5670,0
5670,3
5671,0
5671,1
5671,0
5671,0
5673,1
5676,0
5678,0
5678,3
5679,0
5680,1
5680,4
5682,16
5686,0
5687,7
5688,0
5691,1
5692,0
5692,0
5692,1
5697,1
5702,1
5702,1
5703,1
5705,0
5705,0
5705,0
5705,0
5706,0
5708,1
5708,0
5711,5
5714,0
5714,0
5715,1
5716,0
5716,0
5717,0
5719,1
5722,0
5722,2
5722,1
5723,3
5725,0
5726,6
5727,0
5727,0
5728,0
5729,8
5729,0
5730,0
5731,0
5735,0
5735,8
5735,0
5735,0
5735,0
5739,0
5742,2
5743,0
5746,0
5750,0
5751,0
5753,3
5754,0
5754,1
5758,0
5758,0
5760,0
5762,12
5762,0
5765,0
5767,0
5769,0
5770,1
5770,0
5772,0
5776,0
5777,3
5778,2
5778,0
5779,0
5779,2
5779,1
5782,0
5783,0
5784,1
5786,0
5787,0
5789,0
5790,1
5795,0
5795,16
5795,0
5795,5
5796,5
5798,0
5799,0
5801,0
5802,1
5802,0
5803,1
5804,0
5806,0
5806,0
5807,0
5807,0
5809,0
5812,1
5812,0
5812,0
5813,0
5814,0
5815,0
5815,0
5816,0
5816,1
5816,0
5816,2
5817,2
5817,0
5818,11
5819,0
5820,0
5820,3
5822,0
5823,0
5827,0
5827,1
5828,1
5830,0
5831,0
5831,1
5832,0
5832,0
5833,0
5833,6
5833,1
5834,0
5834,0
5838,3
5839,1
5840,2
5841,0
5847,0
5847,0
5849,0
5850,0
5851,1
5851,1
5852,0
5854,0
5855,0
5855,10
5859,1
5859,0
5859,0
5860,0
5861,16
5862,9
5863,0
5869,1
5870,1
5870,1
5871,1
5873,1
5874,0
5875,5
5876,0
5876,1
5878,0
5878,1
5878,0
5884,1
5885,1
5886,0
5886,2
5888,0
5888,0
5888,1
5889,0
5891,0
5891,3
5891,1
5893,0
5895,1
5898,6
5901,0
5901,0
5902,0
5905,2
5906,0
5906,0
5907,0
5908,0
5908,0
5909,1
5910,2
5911,2
5912,0
5912,0
5914,0
5916,0
5917,0
5924,0
5924,0
5925,0
5926,11
5926,1
5927,0
5928,5
5930,1
5931,3
5932,0
5934,2
5934,1
5935,7
5935,0
5936,1
5938,0
5941,1
5942,0
5942,1
5943,1
5944,5
5945,1
5947,3
5947,1
5950,0
5951,1
5952,1
5952,0
5956,1
5958,1
5958,0
5958,1
5958,0
5959,0
5959,0
5960,0
5960,0
5961,1
5962,1
5963,0
5965,4
5965,1
5970,0
5971,0
5974,0
5974,0
5976,2
5976,1
5977,5
5977,0
5978,0
5981,0
5981,6
5981,8
5986,1
5987,2
5989,2
5990,0
5990,1
5991,0
5993,1
5993,0
5996,1
5996,1
5998,1
5998,0
5999,0
5999,1
6002,8
6003,1
6004,0
6004,1
6005,0
6005,2
6005,0
6007,1
6008,0
6008,1
6008,2
6010,0
6011,0
6012,0
6012,4
6012,0
6013,0
6013,5
6016,1
6017,10
6019,2
6022,1
6023,4
6024,0
6025,0
6026,6
6027,0
6029,2
6031,0
6031,0
6032,1
6033,0
6033,1
6033,1
6035,1
6036,1
6037,1
6037,3
6039,6
6039,1
6039,0
6040,1
6040,1
6040,0
6040,0
6042,1
6043,7
6044,1
6045,0
6050,0
6051,0
6051,1
6053,2
6053,1
6054,0
6055,5
6055,3
6056,0
6057,0
6060,1
6060,5
6060,0
6061,1
6061,0
6063,1
6064,1
6064,2
6064,1
6064,10
6067,1
6068,1
6068,1
6068,0
6068,0
6069,0
6069,1
6072,0
6072,0
6073,7
6074,0
6074,0
6077,0
6078,1
6078,2
6079,0
6080,0
6081,0
6082,6
6082,0
6084,0
6085,2
6085,0
6086,1
6086,0
6087,1
6088,11
6088,4
6088,0
6091,0
6092,2
6092,1
6093,2
6096,16
6098,3
6098,1
6099,1
6101,0
6102,14
6104,1
6104,6
6106,9
6109,5
6109,1
6110,0
6110,1
6113,0
6114,0
6115,6
6117,0
6118,0
6118,2
6119,0
6120,0
6120,2
6123,1
6124,1
6127,0
6127,0
6128,3
6128,1
6129,10
6129,2
6130,0
6130,3
6131,1
6132,0
6134,0
6134,0
6136,1
6137,0
6137,5
6138,1
6142,0
6142,3
6144,0
6147,4
6147,1
6147,1
6147,0
6147,0
6147,2
6148,2
6148,10
6149,0
6149,0
6151,1
6152,0
6154,0
6155,0
6155,1
6155,0
6156,1
6159,1
6159,0
6160,0
6160,2
6161,0
6161,4
6161,0
6162,4
6163,6
6163,1
6165,8
6165,3
6166,0
6168,0
6168,1
6168,0
6169,0
6169,0
6171,0
6172,4
6173,1
6173,0
6173,0
6175,0
6176,5
6178,1
6178,0
6183,1
6183,0
6183,0
6183,0
6183,0
6184,0
6185,0
6186,2
6186,3
6190,0
6192,0
6193,0
6193,0
6194,4
6195,1
6196,0
6197,0
6197,1
6198,4
6199,1
6202,0
6204,0
6204,1
6204,0
6204,1
6205,1
6205,1
6205,0
6206,0
6207,1
6207,0
6209,0
6210,1
6210,1
6211,1
6212,1
6212,0
6213,2
6213,0
6214,4
6216,0
6216,0
6217,0
6218,2
6219,1
6220,1
6220,0
6222,0
6223,1
6223,0
6223,0
6223,11
6225,4
6228,0
6229,0
6229,0
6230,1
6230,0
6232,0
6234,2
6237,0
6237,0
6238,0
6238,1
6239,10
6239,0
6241,2
6241,0
6242,3
6242,0
6243,0
6246,0
6246,0
6246,0
6246,0
6247,0
6247,0
6248,0
6252,0
6253,8
6254,0
6254,1
6256,1
6258,1
6258,0
6260,0
6261,0
6262,2
6262,0
6262,1
6264,0
6265,0
6267,1
6267,4
6269,3
6270,3
6271,1
6271,3
6273,1
6274,0
6274,1
6274,0
6277,2
6277,1
6278,0
6279,0
6280,0
6281,1
6283,1
6283,0
6283,0
6284,0
6284,0
6285,0
6285,0
6288,0
6288,3
6288,0
6290,3
6291,2
6292,1
6294,0
6295,0
6295,1
6295,1
6295,2
6296,1
6296,0
6297,8
6298,0
6299,1
6301,0
6301,0
6302,1
6303,4
6303,0
6303,0
6304,0
6306,0
6308,0
6308,0
6309,0
6309,1
6309,7
6309,2
6311,0
6312,1
6312,1
6313,8
6313,0
6315,1
6316,1
6316,4
6316,1
6317,0
6320,1
6321,2
6323,4
6324,1
6324,5
6324,0
6325,1
6327,0
6327,1
6328,0
6330,1
6331,5
6331,1
6332,0
6333,0
6333,0
6335,1
6335,0
6335,1
6337,10
6338,1
6338,1
6338,0
6338,1
6340,8
6341,0
6341,0
6341,1
6343,1
6347,0
6347,1
6348,1
6348,5
6350,0
6350,9
6351,1
6351,0
6352,1
6352,0
6352,0
6353,0
6353,1
6354,0
6354,0
6354,8
6355,0
6356,0
6357,1
6358,0
6358,1
6359,1
6359,3
6361,8
6362,0
6362,1
6362,0
6363,0
6363,1
6363,1
6364,0
6365,1
6367,2
6368,0
6369,2
6372,2
6372,0
6372,0
6373,2
6374,0
6376,2
6377,1
6378,1
6379,0
6379,1
6380,0
6380,1
6382,0
6383,1
6385,11
6385,0
6386,0
6386,0
6391,1
6391,0
6391,0
6392,1
6394,1
6395,1
6396,2
6397,1
6397,0
6401,0
6402,1
6403,1
6405,1
6406,0
6408,0
6409,0
6409,0
6410,4
6411,0
6411,0
6411,1
6411,0
6413,1
6413,0
6414,1
6414,1
6414,0
6414,10
6414,1
6415,2
6415,5
6416,0
6416,0
6417,0
6417,1
6417,4
6418,0
6418,1
6418,2
6418,0
6420,0
6421,1
6422,1
6422,1
6422,12
6422,0
6422,2
6422,1
6423,0
6423,1
6424,3
6426,0
6429,2
6430,0
6430,0
6432,2
6432,0
6432,1
6433,0
6434,1
6434,0
6435,0
6436,0
6437,0
6438,3
6439,0
6439,0
6439,4
6442,2
6443,0
6445,3
6446,1
6446,2
6447,0
6448,1
6450,0
6452,3
6453,0
6453,0
6454,0
6456,1
6456,0
6457,0
6457,0
6459,1
6459,0
6461,0
6461,1
6462,2
6462,10
6463,1
6464,0
6467,0
6468,0
6468,0
6469,0
6469,1
6470,6
6470,0
6471,7
6471,6
6472,0
6472,0
6472,0
6472,1
6472,2
6474,1
6477,1
6478,0
6479,0
6479,0
6483,3
6483,1
6485,0
6486,13
6486,1
6487,1
6488,0
6488,0
6489,0
6491,1
6492,2
6492,2
6492,0
6494,0
6494,2
6496,1
6496,1
6497,5
6498,0
6499,5
6499,1
6499,2
6499,0
6500,1
6500,1
6501,0
6501,0
6503,1
6504,1
6506,2
6506,0
6508,9
6508,0
6509,6
6511,1
6514,3
6514,0
6514,7
6514,2
6514,10
6515,2
6516,3
6516,0
6517,1
6519,2
6523,1
6524,0
6524,0
6524,1
6524,0
6525,1
6527,12
6527,0
6527,0
6528,0
6529,5
6529,2
6530,1
6530,0
6530,5
6531,1
6532,2
6533,1
6535,2
6536,0
6537,0
6538,1
6538,0
6538,5
6538,1
6538,0
6538,0
6538,0
6539,1
6539,2
6539,2
6540,0
6540,0
6540,0
6540,1
6540,3
6540,1
6541,1
6541,1
6541,0
6541,0
6542,0
6543,3
6544,1
6545,1
6546,6
6547,0
6547,1
6548,0
6549,0
6549,1
6549,0
6550,0
6550,1
6551,1
6554,0
6555,0
6556,0
6558,0
6558,0
6558,1
6559,8
6559,0
6559,0
6560,1
6560,1
6560,0
6561,0
6561,0
6563,0
6563,0
6563,1
6564,3
6564,1
6564,0
6565,2
6566,0
6567,0
6567,1
6568,1
6570,1
6570,0
6571,2
6573,2
6573,0
6574,1
6576,1
6576,0
6579,1
6579,0
6580,6
6580,0
6582,14
6583,0
6583,0
6583,0
6584,0
6584,0
6586,0
6586,0
6586,0
6587,1
6587,0
6588,3
6588,0
6589,0
6590,0
6591,2
6592,0
6592,5
6592,1
6594,0
6595,1
6595,3
6595,0
6596,2
6596,0
6597,0
6598,2
6598,0
6599,0
6601,0
6602,0
6602,1
6606,0
6606,0
6608,7
6608,2
6610,0
6612,0
6612,1
6612,1
6614,2
6614,0
6615,2
6615,5
6615,5
6616,0
6617,0
6618,0
6619,1
6621,0
6622,0
6622,0
6624,1
6624,0
6624,5
6625,1
6625,7
6625,0
6625,0
6625,3
6625,1
6627,0
6627,0
6627,0
6628,2
6629,0
6630,0
6630,0
6630,0
6630,0
6630,1
6632,1
6632,0
6634,0
6637,1
6637,1
6639,1
6640,0
6640,4
6641,0
6641,7
6641,1
6642,5
6642,0
6642,2
6642,0
6643,1
6644,0
6645,0
6646,0
6647,2
6648,1
6649,0
6650,0
6650,0
6650,0
6651,0
6652,0
6652,11
6653,3
6653,1
6656,0
6656,1
6657,7
6657,0
6657,6
6659,3
6659,0
6663,0
6664,1
6665,1
6666,0
6668,1
6670,0
6671,0
6673,0
6673,0
6674,11
6675,3
6676,5
6676,0
6678,1
6679,0
6679,0
6680,9
6680,0
6681,10
6683,0
6685,0
6690,4
6691,5
6691,0
6694,0
6694,3
6695,0
6696,5
6697,0
6697,3
6697,0
6698,0
6699,3
6702,0
6702,3
6703,0
6704,1
6705,0
6707,0
6708,0
6712,0
6712,7
6712,0
6713,6
6714,0
6714,5
6715,3
6715,1
6717,2
6718,0
6719,1
6720,1
6722,0
6723,0
6723,1
6723,0
6724,10
6725,3
6725,0
6725,0
6725,0
6727,2
6727,4
6728,0
6728,1
6729,0
6731,0
6732,7
6732,2
6734,0
6735,1
6738,2
6738,0
6739,0
6739,0
6739,0
6739,0
6740,0
6740,0
6740,2
6740,1
6741,1
6741,2
6741,1
6742,0
6742,0
6744,1
6744,2
6745,0
6746,0
6747,1
6747,0
6748,0
6748,1
6748,4
6749,3
6749,0
6750,0
6751,9
6751,1
6752,0
6754,4
6754,0
6754,0
6756,0
6756,1
6756,0
6760,1
6761,0
6762,0
6763,1
6764,8
6765,5
6766,0
6767,0
6767,2
6768,1
6768,0
6769,0
6769,0
6769,0
6770,10
6770,1
6770,0
6770,4
6773,0
6774,0
6775,1
6776,0
6776,5
6776,1
6778,0
6778,5
6779,5
6780,1
6781,0
6782,2
6785,0
6785,6
6786,1
6786,0
6787,0
6787,1
6787,0
6788,0
6788,3
6788,0
6790,0
6791,6
6793,1
6796,0
6797,3
6797,6
6797,0
6798,0
6798,1
6798,0
6798,1
6799,0
6800,0
6801,1
6801,2
6801,0
6802,2
6803,0
6803,0
6804,1
6806,0
6807,2
6808,0
6809,1
6809,0
6812,1
6813,0
6813,0
6814,0
6814,0
6815,5
6815,0
6816,0
6816,3
6818,4
6818,0
6819,1
6819,1
6819,1
6820,1
6820,0
6821,2
6822,0
6823,0
6825,1
6825,6
6825,3
6828,0
6828,1
6829,1
6829,0
6832,14
6833,2
6833,0
6835,4
6837,3
6837,0
6837,1
6838,7
6838,0
6838,2
6838,2
6839,0
6839,0
6839,1
6839,0
6840,0
6840,1
6840,1
6841,0
6841,0
6841,1
6843,2
6843,2
6843,1
6845,0
6845,2
6847,3
6847,4
6848,0
6848,0
6848,0
6851,2
6853,3
6853,1
6853,1
6853,0
6854,1
6855,0
6855,0
6857,1
6859,1
6859,0
6859,1
6860,0
6861,2
6862,0
6862,0
6863,0
6863,0
6863,1
6864,0
6865,2
6865,5
6866,0
6866,2
6867,1
6868,0
6870,10
6872,1
6872,2
6872,0
6874,0
6874,15
6875,0
6875,1
6876,1
6876,0
6878,4
6878,0
6880,0
6880,0
6881,0
6882,1
6882,0
6882,0
6884,3
6884,0
6885,0
6885,0
6885,0
6886,2
6887,8
6887,0
6888,0
6890,0
6890,0
6890,0
6892,1
6893,1
6893,1
6894,1
6894,2
6894,6
6894,3
6895,2
6896,0
6898,1
6898,1
6900,0
6901,0
6901,2
6903,1
6904,0
6904,0
6905,1
6905,0
6905,0
6906,1
6906,0
6907,0
6909,2
6910,0
6910,0
6910,0
6910,0
6910,3
6912,0
6912,0
6912,1
6913,1
6913,0
6913,0
6913,0
6915,1
6916,0
6917,0
6918,0
6918,10
6918,0
6919,0
6919,1
6920,1
6922,3
6923,2
6923,0
6925,0
6928,0
6928,2
6931,0
6934,3
6935,0
6936,5
6937,0
6939,0
6940,0
6940,0
6940,0
6941,0
6946,0
6946,0
6946,0
6947,0
6948,2
6949,0
6950,3
6951,0
6951,0
6951,0
6952,4
6953,0
6953,7
6956,0
6957,0
6957,1
6959,2
6959,1
6960,2
6961,0
6962,0
6963,0
6964,1
6964,1
6965,0
6965,0
6965,0
6966,5
6966,0
6966,0
6966,0
6967,1
6967,1
6967,1
6967,0
6967,0
6968,4
6968,0
6968,0
6969,1
6969,0
6969,0
6971,0
6971,0
6974,0
6974,0
6974,0
6974,0
6976,0
6977,5
6978,0
6979,0
6979,0
6981,2
6982,0
6982,0
6982,0
6984,2
6985,0
6987,0
6987,1
6988,0
6988,1
6990,0
6994,1
6996,0
6996,1
6997,0
6997,1
6998,0
6998,0
6999,2
7000,1
7001,3
7002,3
7003,0
